夏小柒V#11#            口碑两极分化，百妖谱真的被带节奏了吗？#2020-06-05 13:19
U雅惜雪#1#            不喜欢女主配音，那个声音一出来. 我直接静音退了#2020-06-06 13:22
萌新1号#1#            改编的不行，和原作对比差太多。就算不看原作，一些细节也经不起打磨。#2020-06-06 14:07
摩羯发你的#1#            玩尬的8太行#2020-06-06 14:29
velads#1#            不怎么好看，不如大理寺日志，还有B站猛推的那个动物园也不好看#2020-06-06 16:48
栗花落#13#            一般般#2020-06-06 21:24
咕咕钟的夏天#6#            这季B国创公认不错的也只有大理寺，说实话其他都不咋地，百妖谱客观来讲真的也就一般般，中规中矩是最好的评价。#2020-06-06 21:32
滚来归去#6#            本来期望很大，看了一集之后，就这？强行狗血煽情，尴尬的我之后再也没看#2020-06-07 00:28
贴吧用户_79JMy2X#1#            看到庆忌那……直接就被那满满的子贡味儿台词给劝退了#2020-06-07 00:36
贴吧用户_5449E51#1#            主要是剧情平淡#2020-06-07 15:47
2020hs#9#            不是被带节奏，而是这片太尬了#2020-06-07 16:27
红眼暴力兔#11#            今天看完第一个故事感觉也还行，就是也没太多触动，看完甚至有点困跑去睡了个午觉#2020-06-07 16:50
寄相思#1#            看了第一集就退出去没再看了#2020-06-07 17:36
雨茗#5#            我看了，之前有多期待，之后就有多失望。画风还是不错的，可最重要的是一到煽情部分，绘梦能给你处理的尬的整个人都想找个地缝钻进去，你说差不差。#2020-06-09 03:13
魔多犸斯特#13#            刚开始看前面观感尚可，几集后就没欲望追了#2020-06-09 03:56
麦子与摩羯#1#            比虫师差远了#2020-06-09 06:32
银边山营兰#1#            看过原作，桃夭形象跟我想的差太多了，并且有些作画跟里番似的，很不舒服，绘梦也是垃圾，只能说可怜百妖谱这本小说了#2020-06-09 21:24
逝去的心_凯#7# #2020-06-09 23:13
wq灵魂#2#            我现在只期待雾山五行，如果剧情拉跨就再也不对国抱有幻想了。#2020-06-10 01:17
姜Mark54#1#            女主的造型很惊艳，但声音听起来太嫩了……#2020-06-10 10:00
钓鱼的浦式#1#            不管，巅峰就完事儿了#2020-06-10 12:35
